x,y
0.3568689823150635,-0.023148149251937866
1.6799174547195435,-0.618779718875885
3.4471521377563477,-1.380338430404663
5.48244571685791,-1.9466345310211182
6.547045707702637,-1.966273546218872
7.336126327514648,-0.47021549940109253
7.424408912658691,1.5741603374481201
6.8335652351379395,3.031916379928589
6.040787696838379,3.209401845932007
-5.333344459533691,2.9967823028564453
-6.078761100769043,2.5454862117767334
-6.504120826721191,1.5420706272125244
-6.485654354095459,0.3435061573982239
-6.375513076782227,-1.1053736209869385
-5.893516540527344,-2.340437650680542
-4.970527648925781,-2.486389398574829
-4.311046123504639,-1.9495856761932373
-3.687222957611084,-0.9620205760002136
-3.043835163116455,-0.6028470396995544
-2.0227556228637695,-0.27832549810409546
-0.5833353996276855,-0.04236283898353577
