x_ref_m;y_ref_m;psi_racetraj_rad;s_racetraj_m;kappa_racetraj_radpm;vx_racetraj_mps
-2.4353;4.1525;-3.0729;25.7359;0.0170;2.8562
-2.6836;4.1334;-3.0550;25.9849;0.0191;2.8377
-2.9303;4.1096;-3.0349;26.2328;0.0213;2.8191
-3.1756;4.0807;-3.0128;26.4797;0.0235;2.8005
-3.4193;4.0462;-2.9885;26.7259;0.0257;2.7821
-3.6614;4.0057;-2.9622;26.9714;0.0279;2.7641
-3.9020;3.9587;-2.9338;27.2165;0.0299;2.7468
-4.1410;3.9046;-2.9035;27.4615;0.0319;2.7304
-4.3783;3.8431;-2.8714;27.7067;0.0337;2.7152
-4.6141;3.7736;-2.8374;27.9525;0.0353;2.7017
-4.8481;3.6956;-2.8019;28.1992;0.0367;2.6902
-5.0805;3.6087;-2.7649;28.4472;0.0378;2.6808
-5.3112;3.5124;-2.7267;28.6972;0.0386;2.6739
-5.5401;3.4063;-2.6874;28.9496;0.0391;2.6688
-5.7672;3.2898;-2.6474;29.2048;0.0395;2.6640
-5.9914;3.1631;-2.6064;29.4624;0.0402;2.6571
-6.2116;3.0263;-2.5641;29.7216;0.0414;2.6468
-6.4265;2.8796;-2.5202;29.9817;0.0431;2.6325
-6.6349;2.7232;-2.4742;30.2423;0.0453;2.6144
-6.8355;2.5573;-2.4258;30.5026;0.0479;2.5924
-7.0272;2.3820;-2.3745;30.7623;0.0509;2.5667
-7.2086;2.1976;-2.3201;31.0211;0.0544;2.5375
-7.3787;2.0042;-2.2622;31.2786;0.0582;2.5052
-7.5361;1.8020;-2.2005;31.5348;0.0624;2.4705
-7.6796;1.5912;-2.1347;31.7898;0.0667;2.4345
-7.8080;1.3720;-2.0647;32.0439;0.0711;2.3994
-7.9201;1.1445;-1.9905;32.2975;0.0752;2.3704
-8.0146;0.9090;-1.9130;32.5513;0.0775;2.3559
-8.0906;0.6658;-1.8348;32.8060;0.0760;2.3589
-8.1478;0.4164;-1.7581;33.0620;0.0741;2.3709
-8.1861;0.1620;-1.6827;33.3192;0.0726;2.3831
-8.2053;-0.0958;-1.6084;33.5777;0.0715;2.3923
-8.2055;-0.3556;-1.5345;33.8375;0.0708;2.3979
-8.1864;-0.6160;-1.4607;34.0986;0.0706;2.4002
-8.1481;-0.8756;-1.3867;34.3610;0.0707;2.3994
-8.0902;-1.1328;-1.3120;34.6247;0.0711;2.3961
-8.0128;-1.3864;-1.2363;34.8898;0.0718;2.3908
-7.9158;-1.6347;-1.1593;35.1564;0.0726;2.3844
-7.7989;-1.8765;-1.0809;35.4250;0.0734;2.3779
-7.6622;-2.1102;-1.0010;35.6957;0.0742;2.3726
-7.5055;-2.3345;-0.9196;35.9693;0.0746;2.3705
-7.3287;-2.5478;-0.8370;36.2464;0.0744;2.3740
-7.1320;-2.7487;-0.7551;36.5275;0.0723;2.3779
-6.9185;-2.9338;-0.6738;36.8101;0.0727;2.3658
-6.6923;-3.0998;-0.5901;37.0907;0.0775;2.3210
-6.4573;-3.2427;-0.5002;37.3657;0.0874;2.2316
-6.2178;-3.3591;-0.3995;37.6320;0.1037;2.0853
-5.9779;-3.4452;-0.2824;37.8869;0.1284;1.8691
-5.7415;-3.4973;-0.1423;38.1289;0.1638;1.5865
-5.5129;-3.5118;0.0274;38.3580;0.2092;1.3069
-5.2961;-3.4851;0.2230;38.5765;0.2359;1.1801
-5.0930;-3.4166;0.4165;38.7908;0.2106;1.3010
-4.9020;-3.3107;0.5816;39.0092;0.1664;1.5962
-4.7214;-3.1723;0.7125;39.2367;0.1225;1.9342
-4.5493;-3.0061;0.8114;39.4760;0.0861;2.2362
-4.3840;-2.8169;0.8830;39.7272;0.0582;2.4795
-4.2235;-2.6095;0.9322;39.9894;0.0367;2.6691
-4.0661;-2.3887;0.9624;40.2606;0.0197;2.8126
-3.9100;-2.1594;0.9760;40.5380;0.0053;2.8947
-3.7533;-1.9263;0.9744;40.8189;-0.0081;2.8882
-3.5942;-1.6942;0.9579;41.1003;-0.0216;2.8043
-3.4309;-1.4679;0.9256;41.3793;-0.0366;2.6781
-3.2616;-1.2522;0.8762;41.6535;-0.0542;2.5248
-3.0844;-1.0520;0.8073;41.9209;-0.0757;2.3450
-2.8976;-0.8720;0.7159;42.1804;-0.1014;2.1560
-2.6993;-0.7170;0.6017;42.4321;-0.1258;2.0168
-2.4881;-0.5908;0.4775;42.6781;-0.1257;1.9880
-2.2648;-0.4922;0.3605;42.9221;-0.1131;2.0585
-2.0310;-0.4184;0.2571;43.1673;-0.0975;2.1771
-1.7880;-0.3668;0.1684;43.4157;-0.0812;2.3081
-1.5374;-0.3345;0.0942;43.6684;-0.0659;2.4353
-1.2806;-0.3189;0.0337;43.9256;-0.0521;2.5517
-1.0192;-0.3170;-0.0142;44.1871;-0.0399;2.6556
-0.7545;-0.3263;-0.0507;44.4520;-0.0292;2.7479
-0.4880;-0.3440;-0.0765;44.7190;-0.0195;2.8277
-0.2213;-0.3672;-0.0925;44.9868;-0.0103;2.8839
0.0443;-0.3933;-0.0980;45.2536;-0.0103;2.9072
