x_ref_m;y_ref_m;psi_racetraj_rad;s_racetraj_m;kappa_racetraj_radpm;vx_racetraj_mps
-7.2628;3.2752;-2.2098;30.4009;0.3008;3.0000
-7.3791;3.0582;-1.9387;30.6471;0.2403;3.0000
-7.4440;2.8051;-1.7340;30.9084;0.1552;3.0000
-7.4674;2.5223;-1.5965;31.1922;0.0926;3.0000
-7.4592;2.2161;-1.5105;31.4985;0.0517;3.0000
-7.4294;1.8928;-1.4628;31.8231;0.0239;3.0000
-7.3879;1.5589;-1.4455;32.1596;0.0025;3.0000
-7.3447;1.2207;-1.4554;32.5005;-0.0172;3.0000
-7.3097;0.8846;-1.4930;32.8385;-0.0393;3.0000
-7.2929;0.5568;-1.5540;33.1667;-0.0546;3.0000
-7.2990;0.2413;-1.6150;33.4822;-0.0411;3.0000
-7.3204;-0.0640;-1.6523;33.7883;-0.0190;3.0000
-7.3482;-0.3620;-1.6601;34.0876;0.0064;3.0000
-7.3734;-0.6556;-1.6365;34.3823;0.0337;3.0000
-7.3868;-0.9476;-1.5811;34.6746;0.0607;3.0000
-7.3794;-1.2409;-1.4954;34.9679;0.0840;3.0000
-7.3421;-1.5383;-1.3845;35.2677;0.0992;3.0000
-7.2664;-1.8404;-1.2524;35.5792;0.1165;3.0000
-7.1469;-2.1305;-1.0856;35.8929;0.1572;3.0000
-6.9801;-2.3834;-0.8565;36.1958;0.2300;3.0000
-6.7624;-2.5740;-0.5653;36.4853;0.2702;3.0000
-6.4964;-2.6903;-0.2918;36.7755;0.1994;3.0000
-6.1967;-2.7440;-0.0961;37.0800;0.1285;3.0000
-5.8789;-2.7498;0.0342;37.3978;0.0817;3.0000
-5.5588;-2.7222;0.1220;37.7191;0.0572;3.0000
-5.2476;-2.6724;0.1915;38.0343;0.0529;3.0000
-4.9460;-2.6034;0.2553;38.3436;0.0500;3.0000
-4.6531;-2.5172;0.3140;38.6490;0.0459;3.0000
-4.3678;-2.4157;0.3668;38.9518;0.0411;3.0000
-4.0893;-2.3007;0.4131;39.2531;0.0357;3.0000
-3.8167;-2.1741;0.4526;39.5536;0.0300;3.0000
-3.5490;-2.0379;0.4851;39.8540;0.0241;3.0000
-3.2853;-1.8940;0.5106;40.1545;0.0183;3.0000
-3.0246;-1.7442;0.5290;40.4551;0.0124;3.0000
-2.7660;-1.5904;0.5404;40.7559;0.0066;3.0000
-2.5087;-1.4346;0.5448;41.0568;0.0007;3.0000
-2.2516;-1.2787;0.5422;41.3575;-0.0051;3.0000
-1.9938;-1.1245;0.5326;41.6579;-0.0110;3.0000
-1.7345;-0.9739;0.5159;41.9577;-0.0169;3.0000
-1.4726;-0.8288;0.4921;42.2571;-0.0229;3.0000
-1.2073;-0.6912;0.4612;42.5560;-0.0289;3.0000
-0.9375;-0.5630;0.4231;42.8547;-0.0348;3.0000
-0.6625;-0.4459;0.3780;43.1536;-0.0405;3.0000
-0.3812;-0.3420;0.3262;43.4534;-0.0457;3.0000
-0.0928;-0.2532;0.2682;43.7553;-0.0502;3.0000
0.2038;-0.1812;0.2128;44.0604;-0.0525;3.0000
0.4357;-0.1390;0.1803;44.2961;-0.0525;3.0000
