x_ref_m,y_ref_m,psi_racetraj_rad,s_racetraj_m,kappa_racetraj_radpm,vx_racetraj_mps
-2.1019,4.2419,-3.0834,25.3608,0.0114,2.8670
-2.3536,4.2258,-3.0710,25.6130,0.0132,2.8451
-2.6050,4.2063,-3.0566,25.8651,0.0151,2.8230
-2.8559,4.1830,-3.0404,26.1171,0.0170,2.8010
-3.1063,4.1554,-3.0223,26.3690,0.0189,2.7790
-3.3561,4.1231,-3.0023,26.6209,0.0208,2.7571
-3.6052,4.0855,-2.9805,26.8728,0.0226,2.7355
-3.8535,4.0422,-2.9567,27.1249,0.0245,2.7143
-4.1009,3.9928,-2.9311,27.3772,0.0262,2.6938
-4.3474,3.9367,-2.9037,27.6300,0.0279,2.6742
-4.5929,3.8735,-2.8746,27.8835,0.0295,2.6558
-4.8372,3.8027,-2.8438,28.1378,0.0310,2.6388
-5.0803,3.7239,-2.8115,28.3934,0.0323,2.6232
-5.3221,3.6366,-2.7777,28.6505,0.0334,2.6076
-5.5625,3.5403,-2.7424,28.9094,0.0349,2.5895
-5.8006,3.4347,-2.7050,29.1699,0.0368,2.5669
-6.0352,3.3198,-2.6654,29.4312,0.0392,2.5395
-6.2651,3.1951,-2.6230,29.6927,0.0419,2.5074
-6.4891,3.0607,-2.5776,29.9539,0.0451,2.4707
-6.7059,2.9163,-2.5289,30.2144,0.0486,2.4295
-6.9144,2.7618,-2.4764,30.4739,0.0525,2.3842
-7.1132,2.5969,-2.4201,30.7322,0.0567,2.3355
-7.3012,2.4215,-2.3595,30.9893,0.0612,2.2845
-7.4771,2.2353,-2.2945,31.2454,0.0657,2.2331
-7.6397,2.0383,-2.2252,31.5009,0.0700,2.1837
-7.7878,1.8302,-2.1516,31.7563,0.0740,2.1394
-7.9202,1.6109,-2.0741,32.0125,0.0772,2.1050
-8.0356,1.3802,-1.9932,32.2705,0.0794,2.0896
-8.1328,1.1378,-1.9107,32.5316,0.0784,2.1051
-8.2110,0.8843,-1.8307,32.7969,0.0728,2.1501
-8.2701,0.6215,-1.7553,33.0663,0.0675,2.2040
-8.3104,0.3515,-1.6839,33.3393,0.0636,2.2501
-8.3320,0.0764,-1.6154,33.6152,0.0607,2.2833
-8.3351,-0.2016,-1.5490,33.8932,0.0590,2.3037
-8.3199,-0.4805,-1.4836,34.1725,0.0584,2.3116
-8.2865,-0.7581,-1.4183,34.4521,0.0587,2.3074
-8.2351,-1.0322,-1.3522,34.7310,0.0601,2.2909
-8.1659,-1.3009,-1.2843,35.0085,0.0626,2.2619
-8.0790,-1.5619,-1.2136,35.2836,0.0661,2.2201
-7.9747,-1.8132,-1.1393,35.5557,0.0708,2.1651
-7.8531,-2.0527,-1.0602,35.8242,0.0767,2.0973
-7.7143,-2.2782,-0.9755,36.0890,0.0836,2.0175
-7.5585,-2.4876,-0.8843,36.3500,0.0914,1.9287
-7.3860,-2.6788,-0.7860,36.6075,0.0997,1.8370
-7.1969,-2.8497,-0.6802,36.8624,0.1078,1.7569
-6.9913,-2.9981,-0.5678,37.1160,0.1136,1.7168
-6.7696,-3.1222,-0.4543,37.3701,0.1099,1.7380
-6.5340,-3.2215,-0.3460,37.6258,0.1023,1.8013
-6.2873,-3.2961,-0.2441,37.8835,0.0959,1.8709
-6.0325,-3.3464,-0.1474,38.1432,0.0909,1.9273
-5.7726,-3.3726,-0.0544,38.4044,0.0877,1.9648
-5.5104,-3.3748,0.0364,38.6666,0.0862,1.9822
-5.2490,-3.3535,0.1267,38.9288,0.0864,1.9794
-4.9913,-3.3087,0.2179,39.1904,0.0885,1.9611
-4.7402,-3.2408,0.3116,39.4506,0.0922,1.9486
-4.4986,-3.1500,0.4061,39.7086,0.0910,1.9804
-4.2677,-3.0376,0.4944,39.9654,0.0805,2.0731
-4.0465,-2.9063,0.5710,40.2226,0.0683,2.2033
-3.8338,-2.7589,0.6353,40.4814,0.0559,2.3436
-3.6284,-2.5981,0.6874,40.7423,0.0440,2.4814
-3.4291,-2.4266,0.7277,41.0053,0.0328,2.6127
-3.2346,-2.2473,0.7567,41.2698,0.0222,2.7365
-3.0438,-2.0628,0.7749,41.5352,0.0121,2.8451
-2.8555,-1.8761,0.7825,41.8004,0.0022,2.9037
-2.6685,-1.6897,0.7795,42.0644,-0.0079,2.8736
-2.4816,-1.5065,0.7657,42.3261,-0.0187,2.7720
-2.2936,-1.3293,0.7405,42.5844,-0.0304,2.6370
-2.1033,-1.1608,0.7032,42.8386,-0.0434,2.4835
-1.9095,-1.0037,0.6527,43.0881,-0.0580,2.3130
-1.7110,-0.8608,0.5882,43.3327,-0.0742,2.1278
-1.5066,-0.7350,0.5088,43.5727,-0.0913,1.9369
-1.2951,-0.6289,0.4144,43.8093,-0.1079,1.7618
-1.0754,-0.5453,0.3061,44.0445,-0.1215,1.6514
-0.8461,-0.4869,0.1897,44.2810,-0.1234,1.6816
-0.6068,-0.4553,0.0828,44.5225,-0.0985,1.8752
-0.3592,-0.4465,-0.0008,44.7702,-0.0713,2.1472
-0.1056,-0.4557,-0.0611,45.0239,-0.0485,2.4012
0.1515,-0.4778,-0.1008,45.2819,-0.0290,2.5751
0.4098,-0.5078,-0.1158,45.5420,-0.0290,2.6450
